model,forecast_origin,target_month,n_rows,wmape,bias,wmape_mean,wmape_std,wmape_min,wmape_max,bias_mean,months_abs_bias_gt_threshold
B1_last_month,2010-05,2010-06,3670,0.602807,-0.020301,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2010-06,2010-07,3514,0.613606,0.236883,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2010-07,2010-08,3517,0.650243,-0.272753,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2010-08,2010-09,3507,0.478118,-0.129884,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2010-09,2010-10,3462,0.657548,-0.040126,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2010-10,2010-11,3495,0.486603,-0.133862,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2010-11,2010-12,3514,1.338330,1.034184,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2010-12,2011-01,3476,0.855687,0.152962,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-01,2011-02,3450,1.019270,0.391399,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-02,2011-03,3393,0.556604,-0.233577,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-03,2011-04,3367,0.776245,0.253723,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-04,2011-05,3345,0.602751,-0.153915,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-05,2011-06,3284,0.609874,0.090159,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-06,2011-07,3289,0.548980,0.003311,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-07,2011-08,3310,0.593077,-0.030953,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-08,2011-09,3324,0.569785,-0.233626,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-09,2011-10,3373,0.552398,-0.048642,0.667890,0.214756,0.478118,1.338330,0.038921,4
B1_last_month,2011-10,2011-11,3388,0.510088,-0.164404,0.667890,0.214756,0.478118,1.338330,0.038921,4
B2_ma3,2010-05,2010-06,3670,0.660056,0.062474,0.707178,0.244605,0.520703,1.304256,0.047078,6
B2_ma3,2010-06,2010-07,3514,0.592187,0.185150,0.707178,0.244605,0.520703,1.304256,0.047078,6
B2_ma3,2010-07,2010-08,3517,0.687065,-0.181861,0.707178,0.244605,0.520703,1.304256,0.047078,6
B2_ma3,2010-08,2010-09,3507,0.591604,-0.252841,0.707178,0.244605,0.520703,1.304256,0.047078,6
B2_ma3,2010-09,2010-10,3462,0.655810,-0.236064,0.707178,0.244605,0.520703,1.304256,0.047078,6
B2_ma3,2010-10,2010-11,3495,0.589472,-0.219480,0.707178,0.244605,0.520703,1.304256,0.047078,6
B2_ma3,2010-11,2010-12,3514,1.182159,0.804200,0.707178,0.244605,0.520703,1.304256,0.047078,6
B2_ma3,2010-12,2011-01,3476,1.304256,0.828786,0.707178,0.244605,0.520703,1.304256,0.047078,6
